mom_id,wpi
2012-Apr,56.97
2012-May,57.47
2012-Jun,57.56
2012-Jul,58.15
2012-Aug,58.52
2012-Sep,58.82
2012-Oct,58.69
2012-Nov,58.54
2012-Dec,58.4
2013-Jan,58.92
2013-Feb,59.15
2013-Mar,59.24
2013-Apr,59.26
2013-May,59.51
2013-Jun,60.33
2013-Jul,61
2013-Aug,61.92
2013-Sep,62.6
2013-Oct,62.78
2013-Nov,62.49
2013-Dec,61.89
2014-Jan,61.9
2014-Feb,61.94
2014-Mar,62.32
2014-Apr,62.26
2014-May,62.84
2014-Jun,63.11
2014-Jul,64.03
2014-Aug,64.38
2014-Sep,63.91
2014-Oct,63.41
2014-Nov,62.57
2014-Dec,61.53
2015-Jan,60.93
2015-Feb,60.34
2015-Mar,60.43
2015-Apr,60.59
2015-May,61.36
2015-Jun,61.58
2015-Jul,61.3
2015-Aug,60.87
2015-Sep,60.81
2015-Oct,60.88
2015-Nov,60.65
2015-Dec,60.41
2016-Jan,59.66
2016-Feb,59.21
2016-Mar,59.52
2016-Apr,60.24
2016-May,61.17
2016-Jun,61.89
2016-Jul,62.02
2016-Aug,61.73
2016-Sep,61.76
2016-Oct,61.73
2016-Nov,61.81
2016-Dec,61.61
2017-Jan,62.04
2017-Feb,62.22
2017-Mar,62.35
2017-Apr,62.42
2017-May,62.43
2017-Jun,62.38
2017-Jul,63.19
2017-Aug,63.7
2017-Sep,63.59
2017-Oct,63.93
2017-Nov,64.27
2017-Dec,63.79
2018-Jan,63.89
2018-Feb,63.9
2018-Mar,63.97
2018-Apr,64.53
2018-May,65.18
2018-Jun,65.6
2018-Jul,66.15
2018-Aug,66.23
2018-Sep,66.6
2018-Oct,67.1
2018-Nov,66.83
2018-Dec,65.85
2019-Jan,65.6
2019-Feb,65.75
2019-Mar,65.94
2019-Apr,66.68
2019-May,67.13
2019-Jun,67.12
2019-Jul,67.17
2019-Aug,67.29
2019-Sep,67.14
2019-Oct,67.51
2019-Nov,67.58
2019-Dec,68.01
2020-Jan,68.11
2020-Feb,67.4
2020-Mar,66.42
2020-Apr,66.02
2020-May,65.35
2020-Jun,66.23
2020-Jul,67.18
2020-Aug,67.75
2020-Sep,68.27
2020-Oct,68.68
2020-Nov,69.34
2020-Dec,69.35
2021-Jan,69.82
2021-Feb,70.63
2021-Mar,71.51
2021-Apr,72.77
2021-May,73.38
2021-Jun,73.78
2021-Jul,74.52
2021-Aug,75.17
2021-Sep,75.79
2021-Oct,77.51
2021-Nov,78.99
2021-Dec,78.83
2022-Jan,78.99
2022-Feb,79.74
2022-Mar,81.57
2022-Apr,83.39
2022-May,84.92
2022-Jun,85.09
2022-Jul,84.35
2022-Aug,84.13
2022-Sep,83.38
2022-Oct,83.84
2022-Nov,83.36
2022-Dec,82.31
2023-Jan,82.45
2023-Feb,82.56
2023-Mar,82.59
2023-Apr,82.74
2023-May,82.1
2023-Jun,81.88
2023-Jul,83.91
2023-Aug,84.07
2023-Sep,83.4
2023-Oct,83.72
