"mom_id","date","wpi"
"2012-Apr","2012-04-01",56.97
"2012-May","2012-05-01",57.47
"2012-Jun","2012-06-01",57.56
"2012-Jul","2012-07-01",58.15
"2012-Aug","2012-08-01",58.52
"2012-Sep","2012-09-01",58.82
"2012-Oct","2012-10-01",58.69
"2012-Nov","2012-11-01",58.54
"2012-Dec","2012-12-01",58.4
"2013-Jan","2013-01-01",58.92
"2013-Feb","2013-02-01",59.15
"2013-Mar","2013-03-01",59.24
"2013-Apr","2013-04-01",59.26
"2013-May","2013-05-01",59.51
"2013-Jun","2013-06-01",60.33
"2013-Jul","2013-07-01",61.0
"2013-Aug","2013-08-01",61.92
"2013-Sep","2013-09-01",62.6
"2013-Oct","2013-10-01",62.78
"2013-Nov","2013-11-01",62.49
"2013-Dec","2013-12-01",61.89
"2014-Jan","2014-01-01",61.9
"2014-Feb","2014-02-01",61.94
"2014-Mar","2014-03-01",62.32
"2014-Apr","2014-04-01",62.26
"2014-May","2014-05-01",62.84
"2014-Jun","2014-06-01",63.11
"2014-Jul","2014-07-01",64.03
"2014-Aug","2014-08-01",64.38
"2014-Sep","2014-09-01",63.91
"2014-Oct","2014-10-01",63.41
"2014-Nov","2014-11-01",62.57
"2014-Dec","2014-12-01",61.53
"2015-Jan","2015-01-01",60.93
"2015-Feb","2015-02-01",60.34
"2015-Mar","2015-03-01",60.43
"2015-Apr","2015-04-01",60.59
"2015-May","2015-05-01",61.36
"2015-Jun","2015-06-01",61.58
"2015-Jul","2015-07-01",61.3
"2015-Aug","2015-08-01",60.87
"2015-Sep","2015-09-01",60.81
"2015-Oct","2015-10-01",60.88
"2015-Nov","2015-11-01",60.65
"2015-Dec","2015-12-01",60.41
"2016-Jan","2016-01-01",59.66
"2016-Feb","2016-02-01",59.21
"2016-Mar","2016-03-01",59.52
"2016-Apr","2016-04-01",60.24
"2016-May","2016-05-01",61.17
"2016-Jun","2016-06-01",61.89
"2016-Jul","2016-07-01",62.02
"2016-Aug","2016-08-01",61.73
"2016-Sep","2016-09-01",61.76
"2016-Oct","2016-10-01",61.73
"2016-Nov","2016-11-01",61.81
"2016-Dec","2016-12-01",61.61
"2017-Jan","2017-01-01",62.04
"2017-Feb","2017-02-01",62.22
"2017-Mar","2017-03-01",62.35
"2017-Apr","2017-04-01",62.42
"2017-May","2017-05-01",62.43
"2017-Jun","2017-06-01",62.38
"2017-Jul","2017-07-01",63.19
"2017-Aug","2017-08-01",63.7
"2017-Sep","2017-09-01",63.59
"2017-Oct","2017-10-01",63.93
"2017-Nov","2017-11-01",64.27
"2017-Dec","2017-12-01",63.79
"2018-Jan","2018-01-01",63.89
"2018-Feb","2018-02-01",63.9
"2018-Mar","2018-03-01",63.97
"2018-Apr","2018-04-01",64.53
"2018-May","2018-05-01",65.18
"2018-Jun","2018-06-01",65.6
"2018-Jul","2018-07-01",66.15
"2018-Aug","2018-08-01",66.23
"2018-Sep","2018-09-01",66.6
"2018-Oct","2018-10-01",67.1
"2018-Nov","2018-11-01",66.83
"2018-Dec","2018-12-01",65.85
"2019-Jan","2019-01-01",65.6
"2019-Feb","2019-02-01",65.75
"2019-Mar","2019-03-01",65.94
"2019-Apr","2019-04-01",66.68
"2019-May","2019-05-01",67.13
"2019-Jun","2019-06-01",67.12
"2019-Jul","2019-07-01",67.17
"2019-Aug","2019-08-01",67.29
"2019-Sep","2019-09-01",67.14
"2019-Oct","2019-10-01",67.51
"2019-Nov","2019-11-01",67.58
"2019-Dec","2019-12-01",68.01
"2020-Jan","2020-01-01",68.11
"2020-Feb","2020-02-01",67.4
"2020-Mar","2020-03-01",66.42
"2020-Apr","2020-04-01",66.02
"2020-May","2020-05-01",65.35
"2020-Jun","2020-06-01",66.23
"2020-Jul","2020-07-01",67.18
"2020-Aug","2020-08-01",67.75
"2020-Sep","2020-09-01",68.27
"2020-Oct","2020-10-01",68.68
"2020-Nov","2020-11-01",69.34
"2020-Dec","2020-12-01",69.35
"2021-Jan","2021-01-01",69.82
"2021-Feb","2021-02-01",70.63
"2021-Mar","2021-03-01",71.51
"2021-Apr","2021-04-01",72.77
"2021-May","2021-05-01",73.38
"2021-Jun","2021-06-01",73.78
"2021-Jul","2021-07-01",74.52
"2021-Aug","2021-08-01",75.17
"2021-Sep","2021-09-01",75.79
"2021-Oct","2021-10-01",77.51
"2021-Nov","2021-11-01",78.99
"2021-Dec","2021-12-01",78.83
"2022-Jan","2022-01-01",78.99
"2022-Feb","2022-02-01",79.74
"2022-Mar","2022-03-01",81.57
"2022-Apr","2022-04-01",83.39
"2022-May","2022-05-01",84.92
"2022-Jun","2022-06-01",85.09
"2022-Jul","2022-07-01",84.35
"2022-Aug","2022-08-01",84.13
"2022-Sep","2022-09-01",83.38
"2022-Oct","2022-10-01",83.84
"2022-Nov","2022-11-01",83.36
"2022-Dec","2022-12-01",82.31
"2023-Jan","2023-01-01",82.45
"2023-Feb","2023-02-01",82.56
"2023-Mar","2023-03-01",82.59
"2023-Apr","2023-04-01",82.74
"2023-May","2023-05-01",82.1
"2023-Jun","2023-06-01",81.88
"2023-Jul","2023-07-01",83.91
"2023-Aug","2023-08-01",84.07
"2023-Sep","2023-09-01",83.4
"2023-Oct","2023-10-01",83.72
